"質詢編號","屆","會期","會次","委員","刊登日期","事由","說明"
"11-1-1-1",11,1,1,"羅智強","2024-02-16","本院羅委員智強，就文化部發放文化成年禮金政策屢傳遭濫用亂象，未達政策預期效果，特向行政院提出質詢。","由「藝 FUN 券」轉型而來的「文化成年禮金」今年起擴大發放，文化部每年列 20 億預算， 發給 16 至 22 歲每人 1200 點文化幣，並可從 16 歲起連續領 7 年。文化幣發放以來，屢傳出濫 用、亂用、收購、轉賣等亂象，包括購買與文創無關的化妝品、美食、日用品、3C，網路平台 上也有人低價出售文化幣換現金，被譏為「文化幣之亂」。 文化部參考法國等歐洲國家經驗，去年起發放文化幣，聲稱可開啟年輕人的文化體驗，培 養長期的藝文消費習慣。但媒體觀察成效，就像藝 FUN 券猶如放水流，文化幣也成了大撒幣， 青年一生花完 7 次文化幣，恐也就沒了後續。文化幣推出時即遭質疑，若只是讓本來就有藝文 消費習慣的人，使用文化幣去消費，對擴大藝文人口並無助益。 根據去年統計，文化幣消費抵用主要是書店及出版業，占整體 4 成 8。但從各種文化幣消費 亂象看來，在書店消費的，恐怕不一定是書，也許是拍立得、香氛蠟燭，或是教科書、參考書 等非文化類商品。文化幣漏洞多，難達成初衷。 以先前「藝 FUN 券」的使用為例，85%被用來購買圖書與看電影，其他藝文活動則乏人問 津。國外經驗證明，若無相關藝文教育配套引導，光靠免費政策不易吸引青年參加其不熟悉的 藝文活動，最後還是將消費補貼用於平時就會消費的項目，導致政策成效不佳。 文創法第 14 條規定：「為培養藝文消費習慣，並振興文化創意產業，中央主管機關得編列 預算補助學生觀賞藝文展演，並得發放藝文體驗券」。既有法令對「藝文體驗券」的實施有完 善規範，但因預算有限，文化部多年來並未發放。反觀預算達 20 億的「文化成年禮金」，卻僅 訂定行政規則位階的作業要點，難怪被批漏洞百出，無助藝文反添亂。有網友更在 Dcard 上 PO 出使用文化幣買了洗面乳、保養品、化妝品、防曬乳，讓民眾痛心自己的納稅錢被亂花。 針對文化成年禮金在政策推行上之缺失檢討、效能改善等相關事宜，敬請貴院回覆。"
"11-1-20-63",11,1,20,"黃健豪","2024-06-26","本院黃委員健豪，鑑於近年來機場海關扣押大量加熱菸品，據統計僅 2023 年，機場海關查扣之加熱菸高達 93,800 多條，造成保管倉庫堆積如山，海關肩負保管之重擔，卻不知亂象何時結束。此外，許多國外旅客反映加熱菸在臺灣已合法，但是入境臺灣時卻告知所攜帶的加熱菸並未完成審查，進而被沒 收 ， 造 成 許 多 觀 光 客 抱 怨 臺 灣 政 策 之 反 覆 與 延 宕 。 而主 政機關國健署面對輿情，僅表示已召開數十場審查會議，然而歷時超過一年，審查卻毫無結果，究竟是審查規範不夠明確，亦或是有人為因素干擾正常審查，眾說紛紜，對政府威信是嚴重打擊。為澈底解決現有之亂象，政府應明確訂定審查辦法與時程，解決審查會議議而不決之問題，特向行政院提出質詢。","一、日前媒體報導，日本觀光客來臺旅遊，入境時隨身攜帶之加熱菸產品通通被海關沒收， 讓他們非常生氣且不解，明明加熱菸在臺灣已立法通過，但是不僅攜帶入境會被沒收， 更有面臨罰款之問題。日本媒體《Newsweek》更提出「臺灣禁止加熱菸入境的法律， 很有可能會影響到觀光」。 二、據機場海關統計，光是 2023 年查扣非法走私之加熱菸即高達 93,800 多條，早就塞爆海關 倉庫。其間，造成海關人員的負擔，不僅要負擔人力與保管之責任，還要面對外國旅 客 被沒收之質疑與解釋，且短期間看不到解決之可能。三、媒體報導國健署迄今已召開 20~30 場審查會議，為時超過一年之久，卻仍無任何決議或結果，造成坊間傳聞不斷，質疑 是否因為健康風險評估審查時，沒有明確審查程序和決議方式，以致審查會議議而不決； 抑或是有人為刻意阻擾正常審查，想製造不公平競爭等流言。這些訊息對政府威信、產業 發展與行政運作，皆是不良之影響。為符合「菸害防制法」之立法宗旨，政府應明確化 指定菸品健康風險評估審查標準、衡量機制、審議程序與時程等，以釐清外界質疑，故此 特向行政院提出質詢。"
"11-1-20-64",11,1,20,"馬文君","2024-06-26","本院馬委員文君，鑑於我國大專校院一年級入學學生人 數自 111 學年起降至 20 萬人以下，逐年遞減，反觀國內學生出國留學人數則與日俱增之趨勢，籲請教育部儘速研議鄰近日、 韓 高 教 國 際 化 政 策 ， 藉 此 招 攬 優 質 國 際 生 ， 並 營 造 具國 際 化之 校 園學 習 環境 與 校園 文 化氛 圍 ，以 提 升我 國 高 教國際競爭力，基此，特向行政院提出質詢。","一、據國家發展委員會推估，於 2028 年台灣生育率將降至新低，出生人口推估僅剩 14 萬人。 基此，教育部指出，112 學年大一學生人數將跌破 20 萬人，108 至 117 學年度預估將遺失 8 萬名大一新生。在臺灣高等教育面臨死亡交叉的前景下，大學入學新生銳減代表著大學將 面臨招生不足的經營危機 。 二、高等教育全球化時代的來臨象徵著學生流動及跨國就業需求的攀升。據教育部統計，以 新冠疫情爆發 110 年前的數據，我國在主要國家留學人數從 105 學年的 5 萬 7,956 人，逐年 成長為 109 學年的 7 萬 1,488 人，五年成長 23%，然而回國服務、進修之數卻不到九%； 可見我國學生、人才外流趨勢之嚴重性，及高教短期交換計畫、跨國研讀學位與跨境學習 機會之需。 三、鄰近日、韓高等教育機構通過政策的推動促使教學、研究朝國際化發展，拓展跨境就職 機會。此外，兩國多以開設英語授課課程，藉吸引國際學生從而有效減少少子化對高教的 衝擊，同時增進學生在國際移動時的能力。韓國特別經由經費補助增聘具有英語能力 的學者授課；日本則採跨國學術合作與研究，增加機構內師生國際交流與互動的機會。 有鑑於此，籲請教育部積極思考並研議具體相似措施，增進台灣高教國際競爭力。"
"11-1-20-65",11,1,20,"萬美玲","2024-06-26","本院萬委員美玲，有鑑於子宮頸疫苗（人類乳突病毒 HumanPapilloma Virus 疫苗，以下簡稱 HPV 疫苗）是 WHO 認可安全及有效目前唯一可以預防癌症的疫苗，自 2018 年行政院宣布補助全國國中女生公費皆可以公費施打，實施 7 年以來接種率穩定上升並達到 90%以上。但 HPV 不只是導致女性子宮頸癌的元凶，也是男性口咽癌的隱藏凶手。根據（WHO）2023 年9 月研究發現，15 歲以上男性中，每 5 人就有 1 人感染 1 種以上高致癌型 HPV，更有研究發現，男性的口咽癌發生率已超越同樣與 HPV 相關的女性子宮頸癌。爰建請行政院儘速研議並落實公費 HPV 疫苗接種擴大至全國國中男生，以維護國人健康不分男女，特向行政院提出質詢。","一、相關實證顯示，不分男女皆有 8 成機率感染 HPV，根據世界衛生組織（WHO）2023 年 9 月 研究發現，15 歲以上男性中，每 5 人就有 1 人感染 1 種以上高致癌型 HPV，按衛福部最新 公布 2023 年國人十大死因統計，癌症居首位而口腔癌是台灣十大癌症中第 6 位，男性 10 大癌症中第 3 位，男性的口咽癌發生率已超越同樣與 HPV 相關的女性子宮頸癌。美國醫 學調查也顯示，美國男性口咽癌發生率已超越女性子宮頸癌，且 7 成以上口咽癌與 HPV 有 關；台灣統計也發現，約 3 成的口咽癌是 HPV 感染所致。但我國男性卻少有相關的篩檢及 公費疫苗措施，加上對於 HPV 的警覺性不足，自體清除病毒的能力更差於女性。 二、歐洲癌症組織把「2030 年前，不分男女性，HPV 疫苗接種率達成全體的 90%」訂為首要 目標。而目前國內對於青少年 HPV 校園公費施打，除嘉義市、新竹市及雲林縣有對男生 進行公費施打之外，其他縣市僅限女生。 三、為維護國人及青少年健康不分男女，更避免縣市落差，爰建請行政院儘速研議由中央統一 提供公費 HPV 疫苗接種擴大至全國國中男生。"
"11-1-20-66",11,1,20,"萬美玲","2024-06-26","本院萬委員美玲，有鑑於世界衛生組織 WHO 指出，肺癌是全球死亡人數最高的癌症，每年新增病例約 250 萬例、死亡人數約 180 萬人。又根據我國衛生福利部統計，肺癌已經連續 16 年，蟬聯我國癌症死亡原因的第一名，死亡率每十萬人口有 21.8 人死亡，去年更有 1 萬 0,053 人死於肺癌，占全部癌症死亡人數的 19.4%。衛生福利部於 111 年 7 月 1 日開辦肺癌早期偵測計畫，補助肺癌高風險族群，每兩年一次免費低劑量電腦斷層（以下簡稱 LDCT），迄今已找出 1,149名肺癌個案，其中早期（0 及 1 期）個案占了 85.1%（978 人），11.8%為晚期，顯示 LDCT 肺癌篩檢確實有成效，然肺癌近年來已有趨向年輕化的趨勢，40 歲以下肺癌患者占約 7%。爰建請行政院擴大免費肺癌 LDCT 篩檢計畫，除了有家族病史與吸菸史的民眾之外，擴大加入職業暴露、空污及油煙等高風險職業，並將篩檢年齡擴大到 40 歲以上，以預防肺癌死亡及減少健保醫療支出，特向行政院提出質詢。","一、根據世界衛生組織 WHO 指出，肺癌是全球死亡人數最高的癌症，每年新增病例約 250 萬例 、死亡人數約 180 萬人。又根據我國衛生福利部統計，肺癌已經連續 16 年，蟬聯我國癌症 死亡原因的第一名，死亡率每十萬人口有 21.8 人死亡，去年更有 1 萬 0.053 人死於肺癌， 占全部癌症死亡人數的 19.4%。 二、再根據健康保險署統計，肺癌近五年，平均就醫人數成長率高達 7.66%；112 年肺癌健保 醫療支出更高達 243.4 億元，都是癌症中最高，所以，「肺癌」號稱癌症三冠王：1.晚期 確診比例最高 2.健保醫療支出最高 3.死亡率最高。 三、衛生福利部於 111 年 7 月 1 日開辦肺癌早期偵測計畫，補助肺癌高風險族群，每兩年一次 免費低劑量電腦斷層（簡稱 LDCT），截至 112 年 12 月 31 日，共有 7.8 萬人接受篩檢，已 找出 1,149 名肺癌個案，其中早期（0 及 1 期）個案占了 85.1%（978 人），11.8%為晚期， 相較 110 年診斷肺癌早期個案僅 35.3%，晚期為 61.3%，顯示 LDCT 肺癌篩檢確實有成效。 四、肺癌近年來已有趨向年輕化的趨勢，根據奇美醫學中心調查，40 歲以下肺癌患者占約 7%， 最年輕的個案甚至只有 26 歲，更有許多是沒有家族史及不抽菸的女性。但目前 LDCT 公費 篩檢肺癌有兩大族群：一、有家族病史。二、重度吸菸者。男性 50 至 74 歲、女性 45 至 74 歲 ，才可免費篩檢，篩檢年齡及範圍卻顯不足。 五、為維護民眾健康及減少健保支出，建請行政院讓儘速研議擴大免費肺癌 LDCT 篩檢計畫， 除了有家族病史與吸菸史的民眾之外，擴大加入職業暴露、空污及油煙等高風險職業， 並將篩檢年齡擴大到 40 歲以上。"
"11-1-20-67",11,1,20,"柯志恩","2024-06-26","本院柯委員志恩，有鑑於行政院投入大筆資源推動國家語言發展政策，以及高級中等教育已將本土語言列入必修課程，惟教育現場出現學生缺乏學習興致，反映課程教材艱澀難懂之現象。為有助提升母語學習之成效，特向行政院提出質詢。","一、依國家語言發展法第九條第二項規定「中央教育主管機關應於國民基本教育各階段，將 國家語言列為部定課程」。本土語言課程自 111 學年起納入高中階段必修課程，卻屢傳 學生缺乏學習動機，導致成效低落、教學品質參差不齊等狀況。 二、根據民團 EdYouth 於 112 年之調查指出，高中生對於本土語言列為高級中等教育必修 兩學分之認同程度統計，認同者 35.50%，不認同者 43.50%，顯見學生對於本土語言學習的 認同感有待提升。然而，民團於 113 年之調查，有近五成的學生認為本土語言課程是重要 且有意義的，顯見高中生對本土語言的認同感有提升，且近半數重視其重要性。 三、民團於 113 年進一步調查高中生對本土語言課程之看法，顯示近四成的學生對於課程編排 與設計不甚滿意；四成學生上過本土語言課程後，無法提振興趣；近三成五的學生僅願意 在課程內盡力學習；四成五的學生不認同現階段本土語言教材具日常化與多元化，亦有 兩成五的學生對教材的日常化與多元化無感。 四、總結以上數據及經驗觀察，本土語言課程實有精進空間。教育現場無法有效提振本土語言 之學習興致，教材規劃不佳，以致無法用於日常之中。學生雖認同本土語言傳承重要性， 卻無法將課程活用。此外，教材過度強調羅馬拼音教學，內文艱澀難懂，無助提升基本的 口說與聽力，導致多數學生無法銜接，使學生對學習失去信心與興趣。 五、行政院投入 5 年 321 億元推動「國家語言整體發展方案（111-115 年）」，高級中等教育也 投入大量資源與人力，惟在教育現場無法提升本土語言之學習成效。本席認為，語言學習 最重要的是環境，是否有方法提升語言環境，使本土語言教育融入生活當中？此外，如何 透過課程、教材、師資等規劃，提升高中生學習母語之動機？最後，針對羅馬拼音教材 不利本土語言學習之現狀，如何改善？故特向行政院提出質詢。"
"11-1-21-68",11,1,21,"羅智強","2024-07-03","本院羅委員智強，有鑑於國內民眾及國際民主夥伴均十分關切我國國軍建構自我防衛能力之進度，然現行尚有逾 200 億美元裝備有延期交付情形，特向行政院提出質詢。","美國媒體「華爾街日報」曾撰文關注，台灣向美方訂購約 200 億美元的美國飛彈、火箭發射 器等武器，以協助抵禦來自中國大陸的軍事行為，然而許多訂單的交付還要拖到好幾年後。 軍事裝備是國防力量的基石，若裝備無法及時到位，恐影響我國之防衛能力，特別是在當前 國際局勢日益複雜的背景下，是否會因此在某些戰略防區上出現防禦漏洞？請行政院責成國防部 盤點尚未交付的武器裝備具體包含哪些類型及協議交付時間，以供社會大眾檢視。 就公開資料而言，未交付清單上之一包含於 2020 年簽署以 23 億 7,000 萬美元採購 100 套、 400 枚魚叉（Harpoon）反艦飛彈與相關裝備的合約，美國防部於 2023 年下了生產相同數量飛彈 的訂單，預定將於 2029 年 3 月完成這項計畫;國防部自己亦曾向媒體表拔，我方向美採購包括 400 枚飛彈在內的 100 套岸置型魚叉飛彈系統，其中的 32 套系統、128 枚岸置魚叉飛彈預計 2026 年交付，是否因烏俄戰爭而再次延後交付時間？ 本席特別點出這項裝備的原因，顧立雄部長上任後即宣示，海軍濱海作戰指揮部 115 年成立 ，擬擔負 24 浬內防務，除武器裝備包括雄二、雄三反艦飛彈，岸置魚叉更是十分扮演十分吃重 的角色，各個岸置魚叉飛彈陣地工程均已規劃設計，113 年起陸續開工。軍方規劃在雲林、高雄 、屏東等地新建 6 處魚叉飛彈部隊營區。 包含「海馬斯」多管火箭系統、F-16 戰機、愛國者攔截系統均為當前烏克蘭對抗俄羅斯之重 要裝備，美方表達會優先提供烏克蘭與北約盟友，縱然美國白宮國安會戰略溝通協調官柯比（ John Kirby）表達向台灣與以色列之交付順序並不受影響，然而烏克蘭當前所需數量巨大，國防 部是否評估對台交付否受到影響？ 考量諸多要件導致武器裝備遲未交付的情況下，國防部與供應商之間是否有簽訂相關的賠償 協議？若有，這些協議是否已經啟動，協商進展如何？如果沒有，國防部將採取何種措施來追討 相關的賠償，保障國家利益？ 如同美國智庫「卡托研究所」（Cato Institute）所言，改正美國對台軍售交付延宕狀況，才 能真正對於提升嚇阻及防止潛在毀滅性的戰爭，將是至關重要的能力，請行政院務必確保相關軍 備能夠如期如質交付抵達。"
"11-1-3-2",11,1,3,"羅明才","2024-02-27","本院羅委員明才，2 月 20 日新北市深坑區一間存放大量鋰電池的工廠發生火警，大火燃燒引發的惡臭瀰漫至雙北多個地區。毒物科醫師指出，鋰電池燃燒後會產生「氟化氫」毒氣，嚴重恐引發肺炎、肺衰竭。爰要求環境部、經濟部、勞動部等研商緊急應變措施。於類似情形再度發生後能緊急採取居家辦公、遠距教學等措施，減少民眾出門暴露於有毒氣體環境中，特向行政院提出質詢。","一、新北市深坑區一間存放大量鋰電池的工廠於 2 月 20 日突竄大火，雖經警消搶救火勢並撲滅 後，但大火燃燒引發的惡臭瀰漫至雙北多個地區，包括台北市文山區、信義區、大安區、 中正區、中山區、萬華區，還有新北市的永和區、中和區、新店區、板橋區等，引發民怨。 二、根據林口長庚醫院臨床毒物科醫師顏宗海示警，鋰電池燃燒後會產生氟化氫毒氣，是一種 毒性強烈的氣體，會影響人體的呼吸道和肺部，吸入後可能引發咳嗽或呼吸不順、胸悶， 若大量吸入更恐怕會引發肺炎、肺衰竭。更甚者，氟化氫一旦碰到水，就會成為具有腐蝕 性的「氫氟酸」，也就是俗稱的「化骨水」，且鋰電池燃燒還可能產生 PM2.5 等懸浮微粒 等物質，醫生建議在此情形下，民眾應減少出門，避免暴露於該環境中。 三、如今政府大力推廣電動車、儲電設備等，未來居家環境周邊存在鋰電池相關產品與設施的 機率也將大幅提升。各主管機關應藉此機會研商，倘若類似情形再度發生後，中央行政機 關與地方政府應採行的緊急應變措施，以維護民眾生命財產安全。"
"11-1-3-3",11,1,3,"羅智強","2024-02-27","本院羅委員智強，查近日金門海域遭大陸漁船闖入，與我方海巡發生追逐後不慎碰撞翻覆，造成 2 人落海身亡，全案因檢方介入調查下，外界得知我方巡邏艇執法與陸艇有發生碰撞，卻沒有全程錄影、錄音，引發家屬不滿及爭議，特向行政院提出質詢。","查海巡署對外新聞稿指，因本次海巡 CP-1051 艇沒有配備全船監視系統，過往執勤時，皆有 賴海巡人員使用船艇上配備的手持式攝影器材進行蒐證，行駛過程為船上平衡未有錄影；並稱要 錄影時就發生碰撞，眾人忙著救人以致忘了錄影。 更甚者海巡最初並未主動說明因碰撞而導致翻覆，全案因檢方介入調查下，外界方得知我方 巡邏艇執法與陸艇有發生碰撞，卻沒有全程錄影、錄音，引發家屬不滿及爭議。 據悉海巡署卅五噸級以上的海巡艦、海巡艇，都配備有艇外錄影系統，除艦上人員運用手持 攝影器材蒐證，艇外錄影系統亦可作為輔助蒐證之用。但唯獨新造的 CP 多功能艇因為空間狹小 ，設計伊始即無艇外錄影裝備，都要靠人員自行手動蒐證。 然 CP 多功能艇排水量為 4.3 噸，與噸數為 5 噸以下之 CT0 漁船相去無異，後者仍可安裝船 舶攝錄影系統，顯見海巡署對於第一線執勤人員保障未見充足，對於日後發生勤務爭議、勤務人 員安全皆尚有改進空間。 海巡署應比照國防部自 2022 年 8 月初，大陸對台軍演時即已經要求國軍各級部隊，尤其是 海空部隊要配置適當的攝錄器材蒐證的器材。更於本次事件後，通令要求所有的海空單位，以及 外離島的部隊，針對國軍現有的器材跟能量持續加強檢整，同時強化相關人員的訓練，希望能滿 足蒐證或紀錄的需求。 盱衡本案海巡署勤務引發質疑一事，本席要求海巡署各艦艇應立即全面換裝船舶攝錄影系統 ，應對後續可能衍伸之勤務爭議進行紀錄蒐證，對任何爭端即時提出證明，以昭政府執法公信。 針對金門海域雙方船隻碰撞事件，未有全程錄影、錄音，引發大陸漁民家屬不滿及爭議，為 維護海巡署執法公信力，應立即查明全案真相，將全案事實忠實呈現於家屬與社會大眾前，並全 面換裝船舶攝錄影系統，敬請貴院回覆。"
"11-1-3-4",11,1,3,"陳菁徽","2024-02-27","本院陳委員菁徽，有鑑於近年來組織犯罪猖獗，新興黑幫擴張，以金錢、權勢甚至毒品吸納青年，黑道檯面化，黑道舉辦奢華春酒，網路瘋傳，彷如黑道招生，引起社會譁然。黑道、詐騙集團指揮青年作為「打手」、「車手」事件，數見不鮮，甚至滲入時下興盛的自媒體產業。政府一再強調「黑道暴力零容忍」，然社會暴力事件仍層出不窮，組織犯罪攻擊尋仇事件更一再躍上社會版面，顯見政府打黑政策規劃不佳、執行不力，實應通盤檢討，研擬精進作為，爰向行政院提出質詢。","一、行政院內政部於 112 年推出「精進掃黑行動方案」，內容強調應該打黑應斬草除根，系統 性的掃黑，溯源、刨根、斷金流。然近年來，重大暴力、治安事件頻傳，且明顯有年輕化 之趨勢，甚至有 17 歲的少年從計程車下車掃射再到警局投案，以及黑幫辦生日所有年輕人 打卡似乎很驕傲。重大案件遭逮捕、法辦者，多為青年打手，目前的掃黑方案完全無法妥 適因應躲在後面的藏鏡人，內政部警政署實不應縱容此種犯罪型態持續敗壞社會治安。 二、112 年 5 月 18 日，行政院長陳建仁日主持「112 年度第 2 次治安會報」，在聽取內政部警 政署報告「精進掃黑行動方案」後表示，針對易受幫派組織依附的產業，例如建築營造業 、廢棄物清理、綠能發電及其他新興產業等，相關單位應加強訪查，積極蒐集相關情資、 提早察覺異樣，並主動進行偵辦，以有效抑制不法情事的發生。 三、近年來網路自媒體成為新興產業，其產值、資金的匯集速度、動員聚眾的速度跟金流，完 全不輸前述傳統產業，更有甚者，部分犯罪組織滲入自媒體產業，搞行銷、做網紅，網路 短影音隨處可見黑道內容、題材，紊亂社會價值觀，儼然成為社會重大治安隱憂，為了避 免網路自媒體產業成為黑幫藏匿、孳生的溫床，主責單位更應廣泛地來預防犯罪、蒐集情 資，將「網路自媒體產業」列為打黑重點之新興產業，並就此提出行動方案與策進作為。"
